,CAD_INTERVAL_RANDOM_S,MEASURE_INTERVAL_S,children,pdr,plr,aggregation_efficiency,energy,energy_per_byte,energy_tx_per_byte,latency
0,0.0,1800,0,1.0,0.0,0.0,79457.57632307011,630.615685103731,70.62477655625679,868.5616480001045
1,0.0,1800,0,1.0,0.0,0.0,78202.2554097941,620.6528207126516,70.62477655625679,902.3358880000233
2,0.0,1800,0,1.0,0.0,0.0,83746.70155503994,634.4447087503025,70.47922356006305,902.4508479988472
3,0.0,1800,0,1.0,0.0,0.0,91924.70277800004,666.1210346231886,70.346327346147,902.1534919989372
4,0.0,1800,0,1.0,0.0,0.0,88280.20949517528,668.78946587254,70.47922356006305,902.2311199989563
5,0.0,1800,0,1.0,0.0,0.0,66087.48081667555,478.89478852663444,70.346327346147,902.5718879990454
6,0.0,1800,0,1.0,0.0,0.0,77550.0326880687,561.9567586091936,70.346327346147,902.0113920016083
7,0.0,1800,0,0.9565217391304348,0.0,0.0,58938.956155602245,427.0938851855235,70.346327346147,902.3521600016647
8,0.0,1800,0,0.9565217391304348,0.0,0.0,51755.046774842565,375.0365708321925,70.34632734615795,902.4297880016784
9,0.0,1800,0,0.9545454545454546,0.0,0.0,50248.79511903833,380.6726902957449,70.47922356006305,902.1324320017338
10,0.0,1800,0,1.0,0.0,0.0,86932.04065145834,689.9368305671297,70.62477655625679,902.2100600017475
11,0.0,1800,0,0.9545454545454546,0.0,0.0,91625.82736989067,694.135055832505,70.47922356006305,902.5648280018067
12,0.0,1800,0,0.5909090909090909,0.36363636363636365,0.0,76385.28114360517,578.6763723000391,70.47922356006305,902.0043320018194
13,0.0,1800,0,0.9565217391304348,0.0,0.0,73535.73952955555,532.8676777504025,70.34632734615795,902.3591000018787
14,0.0,1800,0,0.9545454545454546,0.0,0.0,73398.25094018885,556.0473556074913,70.47922356006305,902.4367280018923
15,0.0,1800,0,0.9545454545454546,0.0,0.0,71084.31019500508,538.5175014773112,70.47922356006305,902.1533719960971
16,0.0,1800,0,0.9545454545454546,0.0,0.0,70764.07030086924,536.0914416732518,70.47922356006305,902.2309999949284
17,0.0,1800,0,0.9130434782608695,0.0,0.0,61702.64033612074,447.1205821458025,70.346327346147,901.9476439936916
18,0.0,1800,0,0.9545454545454546,0.0,0.0,53866.230766738954,408.0775058086284,70.47922356006305,902.0252719934215
19,0.0,1800,0,1.0,0.0,0.0,49220.81723653012,390.6414066391279,70.62477655625679,902.380039992182
20,0.0,1800,0,1.0,0.0,0.0,86780.46721095261,688.7338667535922,70.62477655625679,902.4576679919119
21,0.0,1800,1,1.0,0.0,0.9545454545454546,61927.177840219534,245.74276920722036,35.48951467810371,885.9092520001313
22,0.0,1800,1,1.0,0.0,0.9130434782608696,53678.264427628535,213.00898582392276,37.09059763620047,885.8759199996503
23,0.0,1800,1,1.0,0.0,0.9130434782608696,84269.52043851698,326.6260482113061,36.23214481675233,885.9132519988834
24,0.0,1800,1,0.9565217391304348,0.0,0.88,59116.512910357094,151.58080233424897,26.20972552000763,885.9132519988834
25,0.0,1800,2,1.0,0.0,0.9166666666666666,97439.33457106462,76.24361077548093,8.001061435494304,817.092321230497
26,0.0,1800,2,0.9130434782608695,0.0,0.88,64551.18751849941,160.57509332960052,25.440564041799828,902.2072600002093
27,0.0,1800,2,0.9545454545454546,0.0,0.9166666666666666,91324.10183528636,142.249379805742,15.468804420195482,513.6234880000502
28,0.0,1800,2,0.9565217391304348,0.0,0.875,78480.99290379677,201.23331513794042,25.17790463016087,513.7384479993343
29,0.0,1800,2,1.0,0.0,0.9767441860465116,78249.24637888245,86.94360708764717,19.682067850139276,513.4410919994243
30,0.0,1800,3,1.0,0.0,0.9393939393939394,91065.73338750152,197.11197702922405,29.15534330286245,947.882040293603
31,0.0,1800,3,0.9545454545454546,0.0,0.9166666666666666,91159.20106465968,176.6651183423637,19.159567025125458,947.6409480002412
32,0.019,1800,0,1.0,0.0,0.0,79088.36984442495,599.1543170032193,70.47922356006305,946.6277529367399
33,0.019,1800,0,1.0,0.0,0.0,79477.01220592338,575.9203783037926,70.346327346147,946.1184680005254
34,0.019,1800,0,1.0,0.0,0.0,81481.89303593387,617.2870684540445,70.47922356006305,946.1908400001475
